id,conflict_new_id,conflict_name,dyad_name,side_a,side_b,source_article,source_office,source_date,source_headline,source_original,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,high
251625,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-12-29,41 militants killed in round-the-clock offensives: MoD""",Pajhwok News,29/12/2017,41 militants killed in round-the-clock offensives: MoD,MoD,Nahri Sarraj district (Greshk),31.829363,64.608526,Afghanistan,Asia,28/12/2017,29/12/2017,0,4,0,0,4
252297,13637,Afghanistan: Islamic State,Government of Afghanistan - IS,Government of Afghanistan,IS,"""Pajhwok News,2017-12-29,41 militants killed in round-the-clock offensives: MoD""",Pajhwok News,29/12/2017,41 militants killed in round-the-clock offensives: MoD,MoD,Dih Bala district,34.088452,70.443818,Afghanistan,Asia,28/12/2017,29/12/2017,0,4,0,0,4
251004,514,Taleban - Civilians,Taleban - Civilians,Taleban,Civilians,"""Pajhwok News,2017-12-31,Bodies of teacher, student found in Nangarhar""",Pajhwok News,31/12/2017,"Bodies of teacher, student found in Nangarhar",governorâ€™s spokesman ,Sipiaw village,34.261078,70.731087,Afghanistan,Asia,29/12/2017,29/12/2017,0,0,2,0,2
251005,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-12-31,15 militants eliminated in Helmand, Nangarhar operations""",Pajhwok News,31/12/2017,"15 militants eliminated in Helmand, Nangarhar operations",police,Nad Ali district (Marja),31.625941,63.861445,Afghanistan,Asia,30/12/2017,30/12/2017,0,10,0,0,10
251006,13637,Afghanistan: Islamic State,Government of Afghanistan - IS,Government of Afghanistan,IS,"""Pajhwok News,2017-12-31,15 militants eliminated in Helmand, Nangarhar operations""",Pajhwok News,31/12/2017,"15 militants eliminated in Helmand, Nangarhar operations",governorâ€™s office ,Achin district,34.056919,70.661263,Afghanistan,Asia,30/12/2017,30/12/2017,0,5,0,0,5
250883,506,IS - Civilians,IS - Civilians,IS,Civilians,"""Agence France Presse,2017-12-31,Six killed in suicide attack on Afghan funeral: official"";""Agence France Presse,2017-12-31,12 dead in suicide attack on Afghan funeral: officials"";""Agence France Presse,2017-12-31,15 dead in suicide attack on Afghan funeral: officials"";""Agence France Presse,2017-12-31,18 dead in attack on Afghan funeral: officials"";""Pajhwok News,2017-12-31,18 killed in Jalalabad funeral blast""",Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse;Pajhwok News,2017-12-31;2017-12-31;2017-12-31;2017-12-31;2017-12-31,Six killed in suicide attack on Afghan funeral: official;12 dead in suicide attack on Afghan funeral: officials;15 dead in suicide attack on Afghan funeral: officials;18 dead in attack on Afghan funeral: officials;18 killed in Jalalabad funeral blast,"Nangarhar provincial governor's office, Taleban, Provincial health director ",Moqam Khan village,34.39692,70.46083,Afghanistan,Asia,31/12/2017,31/12/2017,0,0,0,18,18
250889,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2018-01-01,21 militants killed in southern Afghan province""",Xinhua News Agency,01/01/2018,21 militants killed in southern Afghan province,provincial government spokesman  ,Nahri Sarraj district (Greshk),31.829363,64.608526,Afghanistan,Asia,31/12/2017,31/12/2017,0,11,0,0,10
251007,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-12-31,Commander among 5 ALP members killed in Logar attack""",Pajhwok News,31/12/2017,Commander among 5 ALP members killed in Logar attack,"governorâ€™s spokesman, resident, Taleban",Ghondi village,34.2547,69.1492,Afghanistan,Asia,31/12/2017,31/12/2017,5,0,0,0,6
251008,514,Taleban - Civilians,Taleban - Civilians,Taleban,Civilians,"""Pajhwok News,2018-01-01,Taliban slay family of pro-govt militiaman""",Pajhwok News,01/01/2018,Taliban slay family of pro-govt militiaman,"security official, former deputy head of the provincial council ",Bandar area,35.34779,64.578796,Afghanistan,Asia,31/12/2017,31/12/2017,0,0,6,0,6
251626,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2018-01-01,21 militants killed in southern Afghan province""",Xinhua News Agency,01/01/2018,21 militants killed in southern Afghan province,provincial government spokesman  ,Nad Ali district (Marja),31.625941,63.861445,Afghanistan,Asia,31/12/2017,31/12/2017,0,10,0,0,11
